iform	iclass	record_count	category	extension	isa_set	cpl	mode_16	mode_32	mode_64	vendor_scope	source_revision	source_reference
PUNPCKLQDQ_XMMdq_XMMq	PUNPCKLQDQ	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLWD_MMXq_MEMd	PUNPCKLWD	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLWD_MMXq_MMXd	PUNPCKLWD	1	MMX	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLWD_XMMdq_MEMdq	PUNPCKLWD	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUNPCKLWD_XMMdq_XMMq	PUNPCKLWD	1	SSE	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH2P_GPR64u64_GPR64u64_APX_N3	PUSH2P	1	PUSH	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH2_GPR64u64_GPR64u64_APX_N3	PUSH2	1	PUSH	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSHA	PUSHA	2	PUSH	BASE	I186	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSHAD	PUSHAD	2	PUSH	BASE	I386	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSHF	PUSHF	3	PUSH	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSHFD	PUSHFD	2	PUSH	BASE	I386	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSHFQ	PUSHFQ	2	PUSH	LONGMODE	LONGMODE	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSHP_GPR64	PUSHP	1	PUSH	APXLEGACY	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_CS	PUSH	1	PUSH	BASE	I86	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_DS	PUSH	1	PUSH	BASE	I86	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_ES	PUSH	1	PUSH	BASE	I86	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_FS	PUSH	1	PUSH	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_GPRv_50	PUSH	2	PUSH	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_GPRv_FFr6	PUSH	1	PUSH	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_GS	PUSH	1	PUSH	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_IMMb	PUSH	1	PUSH	BASE	I186	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_IMMz	PUSH	1	PUSH	BASE	I186	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_MEMv	PUSH	1	PUSH	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PUSH_SS	PUSH	1	PUSH	BASE	I86	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PVALIDATE_RAX_ECX_EDX	PVALIDATE	1	SYSTEM	SNP	SNP	0	true	true	true	amd-only	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PXOR_MMXq_MEMq	PXOR	1	LOGICAL	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PXOR_MMXq_MMXq	PXOR	1	LOGICAL	MMX	PENTIUMMMX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PXOR_XMMdq_MEMdq	PXOR	1	LOGICAL	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
PXOR_XMMdq_XMMdq	PXOR	1	LOGICAL	SSE2	SSE2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8_CL	RCL	1	ROTATE	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8_IMMb	RCL	1	ROTATE	BASE	I186	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8_ONE	RCL	1	ROTATE	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8i8_CL_APX	RCL	1	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8i8_GPR8i8_CL_APX_N3	RCL	1	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8i8_GPR8i8_IMM8_APX_N3	RCL	1	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8i8_GPR8i8_ONE_APX_N3	RCL	1	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8i8_IMM8_APX	RCL	1	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8i8_MEMi8_CL_APX_N3	RCL	1	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8i8_MEMi8_IMM8_APX_N3	RCL	1	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8i8_MEMi8_ONE_APX_N3	RCL	1	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPR8i8_ONE_APX	RCL	1	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPRv_CL	RCL	1	ROTATE	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPRv_CL_APX	RCL	2	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPRv_GPRv_CL_APX_N3	RCL	2	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPRv_GPRv_IMM8_APX_N3	RCL	2	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPRv_GPRv_ONE_APX_N3	RCL	2	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPRv_IMM8_APX	RCL	2	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RCL_GPRv_IMMb	RCL	1	ROTATE	BASE	I186	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
